,title,urlToImage
0,"Full WrestleMania Saturday results: WWE Now, April 2, 2022 - WWE",https://i.ytimg.com/vi/O0EuI5CkFoY/maxresdefault.jpg
1,Camila Cabello speaks out about feeling 'self-conscious' after being photographed at the beach in her bikini - Yahoo Life,https://s.yimg.com/ny/api/res/1.2/4A7jrbhP1yQ90VBmqA77fw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2021-11/b5812910-4c78-11ec-b6fe-0ecfcb3a24b5
2,"2022 WWE WrestleMania 38 live stream, how to watch online, start time, Night 2 matches, card - CBS Sports",https://sportshub.cbsistatic.com/i/r/2022/04/03/1d1cb686-c371-467a-9d4c-9ff56651bdae/thumbnail/1200x675/d9af7377b372d4e2cfb30c4f25b59a7d/roman-reigns-wwe.jpg
3,Rihanna shows off her blossoming bump and toned legs in a chic scarlet mini-dress with fur trim - Daily Mail,https://i.dailymail.co.uk/1s/2022/04/03/14/56161675-0-image-a-20_1648993126763.jpg
4,New to Netflix for April 2022 - IGN,https://i.ytimg.com/vi/55eG4CNqQN0/maxresdefault.jpg
5,"Bill Fries, Singer Known for 1970s Trucking Ballad ‘Convoy,’ Dies at 93 - The New York Times",https://static01.nyt.com/images/2022/04/02/multimedia/02xp-mccall-01/02xp-mccall-01-facebookJumbo.jpg
6,Saturday Night Live: Jerrod Carmichael hosts an inevitably slap-heavy episode - The Guardian,
7,Will Smith projects reportedly stalled or under threat after Oscars slap - The Guardian,https://i.guim.co.uk/img/media/8a298eb0ab4eb554d0814cd71e36493e51bdf7eb/0_304_4872_2923/master/4872.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=4707e6abb520e8e1526545d1fb88b87a
8,‘SNL’ Weekend Update Had a Lot to Say About the Will Smith Oscars Slap - Rolling Stone,https://www.rollingstone.com/wp-content/uploads/2022/04/SNLWUWILL.jpg
9,How to watch the 2022 Grammys - CNN,https://cdn.cnn.com/cnnnext/dam/assets/220330134943-billie-eilish-grammys-2020-file-super-tease.jpg
10,Bianca Belair def. Becky Lynch to win the Raw Women’s Championship - WWE,https://www.wwe.com/f/styles/og_image/public/all/2022/04/20220402_WM38_16x9_sat_bianca_fc--b043b11601b0e8069283b253b342f8bf.jpg
11,"Queen's Brian May ""frustrated"" by Taylor Hawkins' death - NME",https://www.nme.com/wp-content/uploads/2022/04/BrianMay_TaylorHawkins.jpg
12,‘SNL’: Pete Davidson Returns To Vent About Movies Being Too Long In Music Video Featuring Simon Rex - Deadline,https://deadline.com/wp-content/uploads/2022/04/Rapvideo.png?w=1024
13,‘SNL’ Pays Tribute To Late Foo Fighters Drummer Taylor Hawkins - Deadline,https://deadline.com/wp-content/uploads/2022/04/AP22089026644294-e1648961434465.jpg?w=1024
14,"WrestleMania 38: Steve Austin Closes Final Chapter of His Career, Logan Paul Debuts and Bianca Belair Shines - Sports Illustrated",https://www.si.com/.image/t_share/MTg4NTE2NjQyMzkxNTk4NzA4/steve-austin.jpg
15,WrestleMania 38 Night 1 Reaction | WWE on ESPN - ESPN,https://i.ytimg.com/vi/XbVSPUj8WGM/maxresdefault.jpg
16,News On Announced WrestleMania 38 Night One Attendance And Distributed Tickets - Wrestling Inc.,https://149566639.v2.pressablecdn.com/wp-content/uploads/2022/04/cody-rhodes-entrance.jpg
17,"Actress Estelle Harris, 'Toy Story''s Mrs. Potato Head, dead at 93 - Fox News",https://static.foxnews.com/foxnews.com/content/uploads/2022/04/GettyImages-466550455.jpg
18,Zeke Smith proposes to Nico Santos at GLAAD Media Awards - Entertainment Weekly News,https://imagesvc.meredithcorp.io/v3/mm/image?q=60&c=sc&poi=%5B960%2C26%5D&w=2000&h=1000&url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F6%2F2022%2F03%2F31%2FGettyImages-1133356432.jpg
19,Logan Paul owns $5.275 million Pokémon card after record-breaking trade - Guinness World Records,https://www.guinnessworldrecords.com/Images/pokemon-card-logan-paul_tcm25-697327.jpg
